County,# Child Care Centers,County Value**
"Virginia",,"7"
"Accomack","8","4"
"Albemarle","58","10"
"Alexandria City","98","9"
"Alleghany","1","2"
"Amelia","6","9"
"Amherst","15","9"
"Appomattox","6","6"
"Arlington","83","6"
"Augusta","20","6"
"Bath","1","6"
"Bedford","26","7"
"Bland","2","8"
"Botetourt","17","12"
"Bristol City","11","12"
"Brunswick","6","9"
"Buchanan","8","10"
"Buckingham","4","5"
"Buena Vista City","3","9"
"Campbell","20","7"
"Caroline","15","8"
"Carroll","11","9"
"Charles City","2","10"
"Charlotte","2","4"
"Charlottesville City","29","12"
"Chesapeake City","113","7"
"Chesterfield","123","6"
"Clarke","6","10"
"Colonial Heights City","7","7"
"Covington City","3","9"
"Craig","1","3"
"Culpeper","17","5"
"Cumberland","2","4"
"Danville City","21","9"
"Dickenson","3","5"
"Dinwiddie","7","5"
"Emporia City","3","8"
"Essex","7","12"
"Fairfax","534","7"
"Fairfax City","20","11"
"Falls Church City","12","16"
"Fauquier","42","10"
"Floyd","6","9"
"Fluvanna","8","7"
"Franklin","26","11"
"Franklin City","6","10"
"Frederick","21","4"
"Fredericksburg City","11","6"
"Galax City","2","5"
"Giles","8","9"
"Gloucester","10","5"
"Goochland","8","8"
"Grayson","2","3"
"Greene","5","4"
"Greensville","2","4"
"Halifax","9","5"
"Hampton City","46","6"
"Hanover","45","8"
"Harrisonburg City","18","7"
"Henrico","164","8"
"Henry","16","7"
"Highland","1","13"
"Hopewell City","11","7"
"Isle of Wight","17","9"
"James City","32","8"
"King and Queen","1","3"
"King George","8","5"
"King William","8","8"
"Lancaster","5","13"
"Lee","11","11"
"Lexington City","8","34"
"Loudoun","207","7"
"Louisa","13","6"
"Lunenburg","2","4"
"Lynchburg City","37","8"
"Madison","4","5"
"Manassas City","25","8"
"Manassas Park City","3","3"
"Martinsville City","11","11"
"Mathews","4","11"
"Mecklenburg","11","7"
"Middlesex","4","10"
"Montgomery","38","9"
"Nelson","6","9"
"New Kent","8","8"
"Newport News City","84","6"
"Norfolk City","102","7"
"Northampton","7","12"
"Northumberland","4","13"
"Norton City","2","27"
"Nottoway","5","7"
"Orange","14","7"
"Page","7","6"
"Patrick","4","5"
"Petersburg City","19","8"
"Pittsylvania","13","5"
"Poquoson City","4","7"
"Portsmouth City","55","8"
"Powhatan","10","8"
"Prince Edward","9","9"
"Prince George","8","3"
"Prince William","195","6"
"Pulaski","12","8"
"Radford City","6","11"
"Rappahannock","4","13"
"Richmond","4","10"
"Richmond City","79","6"
"Roanoke","29","6"
"Roanoke City","50","7"
"Rockbridge","2","2"
"Rockingham","22","5"
"Russell","7","6"
"Salem City","19","18"
"Scott","10","12"
"Shenandoah","22","9"
"Smyth","9","7"
"Southampton","5","6"
"Spotsylvania","50","6"
"Stafford","59","6"
"Staunton City","14","9"
"Suffolk City","35","6"
"Surry","1","3"
"Sussex","5","11"
"Tazewell","13","6"
"Virginia Beach City","167","6"
"Warren","11","5"
"Washington","22","10"
"Waynesboro City","11","8"
"Westmoreland","8","9"
"Williamsburg City","8","18"
"Winchester City","19","11"
"Wise","12","7"
"Wythe","10","7"
"York","32","8"